"","study","sample","experiment","run","ftp"
"1","SRP079058","SRS1574803","SRX1965247","SRR3935955","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3935955/SRR3935955.sra"
"2","SRP079058","SRS1574805","SRX1965249","SRR3935957","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3935957/SRR3935957.sra"
"3","SRP079058","SRS1573354","SRX1963798","SRR3934506","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3934506/SRR3934506.sra"
"4","SRP079058","SRS1574090","SRX1964534","SRR3935242","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3935242/SRR3935242.sra"
"5","SRP079058","SRS1576636","SRX1967079","SRR3937787","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3937787/SRR3937787.sra"
"6","SRP079058","SRS1575908","SRX1966353","SRR3937061","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3937061/SRR3937061.sra"
"7","SRP079058","SRS1574091","SRX1964537","SRR3935245","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3935245/SRR3935245.sra"
"8","SRP079058","SRS1573355","SRX1963799","SRR3934507","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3934507/SRR3934507.sra"
"9","SRP079058","SRS1574795","SRX1965239","SRR3935947","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3935947/SRR3935947.sra"
"10","SRP079058","SRS1576644","SRX1967088","SRR3937796","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3937796/SRR3937796.sra"
"11","SRP079058","SRS1575904","SRX1966347","SRR3937055","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3937055/SRR3937055.sra"
"12","SRP079058","SRS1576278","SRX1966720","SRR3937428","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3937428/SRR3937428.sra"
"13","SRP079058","SRS1573726","SRX1964170","SRR3934878","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3934878/SRR3934878.sra"
"14","SRP079058","SRS1573717","SRX1964161","SRR3934869","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3934869/SRR3934869.sra"
"15","SRP079058","SRS1574793","SRX1965237","SRR3935945","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3935945/SRR3935945.sra"
"16","SRP079058","SRS1574445","SRX1964889","SRR3935597","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3935597/SRR3935597.sra"
"17","SRP079058","SRS1575143","SRX1965587","SRR3936295","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3936295/SRR3936295.sra"
"18","SRP079058","SRS1576255","SRX1966696","SRR3937404","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3937404/SRR3937404.sra"
"19","SRP079058","SRS1576625","SRX1967068","SRR3937776","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3937776/SRR3937776.sra"
"20","SRP079058","SRS1573344","SRX1963788","SRR3934496","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3934496/SRR3934496.sra"
"21","SRP079058","SRS1575168","SRX1965612","SRR3936320","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3936320/SRR3936320.sra"
"22","SRP079058","SRS1576627","SRX1967071","SRR3937779","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3937779/SRR3937779.sra"
"23","SRP079058","SRS1573356","SRX1963800","SRR3934508","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3934508/SRR3934508.sra"
"24","SRP079058","SRS1574438","SRX1964882","SRR3935590","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3935590/SRR3935590.sra"
"25","SRP079058","SRS1576631","SRX1967069","SRR3937777","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3937777/SRR3937777.sra"
"26","SRP079058","SRS1574799","SRX1965243","SRR3935951","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3935951/SRR3935951.sra"
"27","SRP079058","SRS1574791","SRX1965236","SRR3935944","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3935944/SRR3935944.sra"
"28","SRP079058","SRS1574095","SRX1964539","SRR3935247","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3935247/SRR3935247.sra"
"29","SRP079058","SRS1575900","SRX1966343","SRR3937051","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3937051/SRR3937051.sra"
"30","SRP079058","SRS1575148","SRX1965593","SRR3936301","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3936301/SRR3936301.sra"
"31","SRP079058","SRS1575158","SRX1965603","SRR3936311","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3936311/SRR3936311.sra"
"32","SRP079058","SRS1573351","SRX1963795","SRR3934503","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3934503/SRR3934503.sra"
"33","SRP079058","SRS1575882","SRX1966326","SRR3937034","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3937034/SRR3937034.sra"
"34","SRP079058","SRS1575146","SRX1965588","SRR3936296","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3936296/SRR3936296.sra"
"35","SRP079058","SRS1574092","SRX1964536","SRR3935244","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3935244/SRR3935244.sra"
"36","SRP079058","SRS1575894","SRX1966338","SRR3937046","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3937046/SRR3937046.sra"
"37","SRP079058","SRS1576629","SRX1967073","SRR3937781","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3937781/SRR3937781.sra"
"38","SRP079058","SRS1574444","SRX1964888","SRR3935596","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3935596/SRR3935596.sra"
"39","SRP079058","SRS1574435","SRX1964880","SRR3935588","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3935588/SRR3935588.sra"
